INSTANCE;WEIGHT_GR;VALUE_GR;EXECUTION_TIME_GR
;problem_100_1000_4_5_5.txt;40119;40119;0
;problem_500_50_1_1_5.txt;2127;6088;1
;problem_500_50_1_2_5.txt;4223;8133;1
;problem_500_50_1_3_5.txt;6379;10456;1
;problem_500_50_1_4_5.txt;8576;11785;1
;problem_500_50_1_5_5.txt;10727;12071;1
;problem_500_50_2_1_5.txt;2121;2618;1
;problem_500_50_2_2_5.txt;4186;4822;1
;problem_500_50_2_3_5.txt;6376;7048;1
;problem_500_50_2_4_5.txt;8596;9248;1
;problem_500_50_2_5_5.txt;10736;11089;2
;problem_500_50_3_1_5.txt;2153;4123;1
;problem_500_50_3_2_5.txt;3914;6874;1
;problem_500_50_3_3_5.txt;6490;9970;1
;problem_500_50_3_4_5.txt;8510;12600;1
;problem_500_50_3_5_5.txt;10603;15153;1
;problem_500_50_4_1_5.txt;2156;2156;0
;problem_500_50_4_2_5.txt;3911;3911;0
;problem_500_50_4_3_5.txt;6497;6497;0
;problem_500_50_4_4_5.txt;8508;8508;1
;problem_500_50_4_5_5.txt;10596;10596;1
;problem_500_100_1_1_5.txt;4255;11486;1
;problem_500_100_1_2_5.txt;8358;16360;1
;problem_500_100_1_3_5.txt;13020;20479;2
;problem_500_100_1_4_5.txt;16769;23103;1
;problem_500_100_1_5_5.txt;20578;24406;1
;problem_500_100_2_1_5.txt;4267;5131;1
;problem_500_100_2_2_5.txt;8423;9687;1
;problem_500_100_2_3_5.txt;12993;14197;1
;problem_500_100_2_4_5.txt;16801;18026;1
;problem_500_100_2_5_5.txt;20586;21482;2
;problem_500_100_3_1_5.txt;4167;6217;2
;problem_500_100_3_2_5.txt;8312;11182;1
;problem_500_100_3_3_5.txt;12966;16456;1
;problem_500_100_3_4_5.txt;16729;20829;1
;problem_500_100_3_5_5.txt;20938;25498;1
;problem_500_100_4_1_5.txt;4161;4161;0
;problem_500_100_4_2_5.txt;8337;8337;0
;problem_500_100_4_3_5.txt;13018;13018;0
;problem_500_100_4_4_5.txt;16713;16713;0
;problem_500_100_4_5_5.txt;20869;20869;0
;problem_500_500_1_1_5.txt;21577;58126;1
;problem_500_500_1_2_5.txt;39690;84630;1
;problem_500_500_1_3_5.txt;63296;99525;1
;problem_500_500_1_4_5.txt;84714;114476;1
;problem_500_500_1_5_5.txt;103002;122114;1
;problem_500_500_2_1_5.txt;21549;25569;1
;problem_500_500_2_2_5.txt;39616;45667;1
;problem_500_500_2_3_5.txt;63045;70158;1
;problem_500_500_2_4_5.txt;85058;91045;1
;problem_500_500_2_5_5.txt;102906;107433;1
;problem_500_500_3_1_5.txt;21277;23267;3
;problem_500_500_3_2_5.txt;40388;43288;1
;problem_500_500_3_3_5.txt;61643;65203;1
;problem_500_500_3_4_5.txt;82128;86218;1
;problem_500_500_3_5_5.txt;107817;112367;1
;problem_500_500_4_1_5.txt;20845;20845;0
;problem_500_500_4_2_5.txt;40542;40542;21
;problem_500_500_4_3_5.txt;61844;61844;0
;problem_500_500_4_4_5.txt;82327;82327;0
;problem_500_500_4_5_5.txt;107467;107467;0
;problem_500_1000_1_1_5.txt;42500;114437;1
;problem_500_1000_1_2_5.txt;84688;165118;1
;problem_500_1000_1_3_5.txt;122443;203616;1
;problem_500_1000_1_4_5.txt;165514;229247;1
;problem_500_1000_1_5_5.txt;212119;252043;2
;problem_500_1000_2_1_5.txt;42032;50684;18
;problem_500_1000_2_2_5.txt;84688;96886;2
;problem_500_1000_2_3_5.txt;122856;135773;1
;problem_500_1000_2_4_5.txt;165504;177471;1
;problem_500_1000_2_5_5.txt;212694;219252;2
;problem_500_1000_3_1_5.txt;42379;44409;1
;problem_500_1000_3_2_5.txt;84592;87432;1
;problem_500_1000_3_3_5.txt;121018;124568;1
;problem_500_1000_3_4_5.txt;169604;173664;2
;problem_500_1000_3_5_5.txt;218567;223107;2
;problem_500_1000_4_1_5.txt;42332;42332;0
;problem_500_1000_4_2_5.txt;84636;84636;0
;problem_500_1000_4_3_5.txt;121318;121318;0
;problem_500_1000_4_4_5.txt;170133;170133;0
;problem_500_1000_4_5_5.txt;218449;218449;0
